Action,SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,OKO CONNECT POINT,₦ 100.000 View group prices,524.0 UNIT(S),"₦ 52,400.000","₦ 52,400.000",₦ 0.000,"1,976.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,UNIZIK 2,₦ 100.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,0.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,AWKA CONNECT / LITE,₦ 100.000 View group prices,"11,193.5 UNIT(S)","₦ 1,119,350.000","₦ 1,119,350.000",₦ 0.000,"51,950.5 UNIT(S)","36,900.0 UNIT(S)",0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,ESUT CONNECT POINT,₦ 100.000 View group prices,0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,500.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,IMT CONNECT LITE,₦ 100.000 View group prices,140.2 UNIT(S),"₦ 14,019.750","₦ 14,020.000",₦ 0.250,"1,559.8 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,UMUAGWO CONNECT POINT,₦ 100.000 View group prices,490.0 UNIT(S),"₦ 49,000.000","₦ 49,000.000",₦ 0.000,"1,760.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,STATE SEC CONNECT POINT,₦ 100.000 View group prices,407.0 UNIT(S),"₦ 40,700.000","₦ 40,700.000",₦ 0.000,"3,243.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,AIRPORT CONNECT POINT,₦ 100.000 View group prices,637.0 UNIT(S),"₦ 63,700.000","₦ 63,700.000",₦ 0.000,"38,363.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,IMSU CONNECT POINT,₦ 100.000 View group prices,427.0 UNIT(S),"₦ 42,700.000","₦ 42,700.000",₦ 0.000,"6,973.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,249196,MOMO HEAD OFFICE,,MOMO,ULAKWO CONNECT POINT,₦ 100.000 View group prices,367.0 UNIT(S),"₦ 36,700.000","₦ 36,700.000",₦ 0.000,"6,733.0 UNIT(S)",0.0 UNIT(S),0.0 UNIT(S),,,,
