SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
121266,VTU,,VTU,NEKEDE ,1.0,0.0,0.0,0.0,0.0,310000.0,0.0,0.0,,,,
121266,VTU,,VTU,UNIZIK 1,1.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,,,,
121266,VTU,,VTU,AIRPORT ,1.0,14.7,6082.334,14.7,6097.034,22141940.3,0.0,0.0,,,,
121266,VTU,,VTU,ALAKAHIA ,1.0,0.0,0.0,0.0,0.0,52361388.0,170000.0,0.0,,,,
121266,VTU,,VTU,ELELE ,1.0,0.0,0.0,0.0,0.0,83300.0,0.0,0.0,,,,
121266,VTU,,VTU,AWKA ,1.0,730953.0,705469.645,730953.0,25483.355,38675650.0,7215001.0,0.0,,,,
121266,VTU,,VTU,IMSU ,1.0,0.0,0.0,0.0,0.0,953000.0,0.0,0.0,,,,
121266,VTU,,VTU,UNIZIK 2,1.0,49815.0,49519.94,49815.0,295.06,2964585.0,1.0,0.0,,,,
121266,VTU,,VTU,ULAKWO ,1.0,4500.0,4342.5,4500.0,157.5,631300.0,0.0,0.0,,,,
121266,VTU,,VTU,IMT ,1.0,0.0,0.0,0.0,0.0,168700.0,20000.0,0.0,,,,
121266,VTU,,VTU,OKO ,1.0,13530.0,13056.45,13530.0,473.55,1822850.0,0.0,0.0,,,,
121266,VTU,,VTU,OWERRI 2 ,1.0,1473800.0,1422217.0,1473800.0,51583.0,46472200.0,500000.0,0.0,,,,
121266,VTU,,VTU,ALVAN 2 ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
121266,VTU,,VTU,OKIGWE HUB,1.0,2683500.0,2589577.5,2683500.0,93922.5,14009300.0,1150000.0,0.0,,,,
121266,VTU,,VTU,ESUT ,1.0,33600.0,32424.0,33600.0,1176.0,1699600.0,0.0,0.0,,,,
121964,ITEL A18,,PHONES,AWKA ,28500.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,,,,
121964,ITEL A18,,PHONES,UNIZIK 2,28500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
135860,Tecno 467,,PHONES,IMSU ,33000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
135860,Tecno 467,,PHONES,AWKA ,33000.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,,,,
173585,ITEL 2166,,PHONES,OWERRI 2 ,15000.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,,,,
173585,ITEL 2166,,PHONES,AWKA ,15000.0,0.0,0.0,0.0,0.0,36.0,6.0,0.0,,,,
173585,ITEL 2166,,PHONES,IMSU ,15000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
173585,ITEL 2166,,PHONES,ULAKWO ,15000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
173585,ITEL 2166,,PHONES,UNIZIK 1,15000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
173585,ITEL 2166,,PHONES,IMT ,15000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
173590,ITEL A70,,PHONES,OWERRI 2 ,89000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
176505,INFINIX SMART8 (1/64),,PHONES,AWKA ,120000.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,
176505,INFINIX SMART8 (1/64),,PHONES,UNIZIK 1,120000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
176506,INFINIX SMART8 (4/128),,PHONES,AWKA ,132000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,
